date,ticker,market,mktcap_6,me_12,bps,pbr,bm,ret_m,adj_flag,is_delisted,is_holdco_dual,breakpoint_flag,used_fund_date,walked,size2,bm3,size5,bm5,port_2x3,port_5x5,weight_vw,sort_date
2010-07-31,000660,KOSPI,14785291985850,13650132687150.0,11075.0,2.09,0.47846889952153115,-0.10179640718562866,none,False,False,kospi_only,20091230,1,B,L,5,1,B/L,S5B1,14785291985850,20100630
2010-07-31,000670,KOSPI,1044436680000,1048120760000.0,545000.0,1.04,0.9615384615384615,0.05820105820105814,none,False,False,kospi_only,20091230,1,B,M,5,2,B/M,S5B2,1044436680000,20100630
2010-07-31,000680,KOSPI,461352645900,670131100500.0,5153.0,1.65,0.6060606060606061,0.029457364341085368,none,False,False,kospi_only,20091230,1,B,L,4,1,B/L,S4B1,461352645900,20100630
2010-07-31,000700,KOSPI,827647575300,195684169200.0,47976.0,0.29,3.4482758620689657,-0.0978835978835979,none,False,True,kospi_only,20091230,1,B,H,5,5,B/H,S5B5,827647575300,20100630
2010-07-31,000720,KOSPI,6313871875500,7895123738500.0,26041.0,2.72,0.3676470588235294,0.11463844797178124,none,False,False,kospi_only,20091230,1,B,L,5,1,B/L,S5B1,6313871875500,20100630
2010-07-31,000760,KOSPI,24136000000,13146000000.0,10682.0,0.44,2.272727272727273,0.3747099767981439,none,False,False,kospi_only,20091230,1,S,H,1,4,S/H,S1B4,24136000000,20100630
2010-07-31,000800,KOSPI,125284333330,156881895330.0,33212.0,0.3,3.3333333333333335,-0.01261034047919296,none,False,False,kospi_only,20091230,1,B,H,3,5,B/H,S3B5,125284333330,20100630
2010-07-31,000830,KOSPI,8138945504400,8763816560400.0,34728.0,1.62,0.6172839506172839,0.13819577735124766,none,False,False,kospi_only,20091230,1,B,L,5,1,B/L,S5B1,8138945504400,20100630
2010-07-31,000850,KOSPI,87340000000,75020000000.0,48627.0,0.7,1.4285714285714286,-0.07808564231738035,none,False,False,kospi_only,20091230,1,S,M,3,3,S/M,S3B3,87340000000,20100630
2010-07-31,000860,KOSPI,91975000000,103025000000.0,36002.0,0.44,2.272727272727273,0.0035335689045936647,none,False,False,kospi_only,20091230,1,S,H,3,4,S/H,S3B4,91975000000,20100630
2010-07-31,000880,KOSPI,2795960815500,3583027533000.0,25315.0,1.89,0.5291005291005292,0.07506702412868638,none,False,False,kospi_only,20091230,1,B,L,5,1,B/L,S5B1,2795960815500,20100630
2010-07-31,000890,KOSPI,39315535350,35461071100.0,39802.0,0.4,2.5,0.03081232492997188,none,False,False,kospi_only,20091230,1,S,H,1,5,S/H,S1B5,39315535350,20100630
2010-07-31,000910,KOSPI,81212759000,85621858000.0,15503.0,0.39,2.564102564102564,0.05078809106830118,none,False,False,kospi_only,20091230,1,S,H,3,5,S/H,S3B5,81212759000,20100630
2010-07-31,000950,KOSPI,66948000000,38052000000.0,112609.0,0.2,5.0,-0.04140526976160597,none,False,False,kospi_only,20091230,1,S,H,2,5,S/H,S2B5,66948000000,20100630
2010-07-31,000970,KOSPI,86641900000,105110305000.0,9705.0,0.48,2.0833333333333335,0.011842105263157876,none,False,False,kospi_only,20091230,1,S,H,3,4,S/H,S3B4,86641900000,20100630
2010-07-31,000990,KOSPI,441648737200,266866086480.0,29034.0,0.24,4.166666666666667,-0.1397875740603386,split_bonus,False,False,kospi_only,20091230,1,B,H,4,5,B/H,S4B5,441648737200,20100630
2010-07-31,001000,KOSDAQ,29036397150,26521421800.0,3073.0,2.57,0.38910505836575876,0.02170542635658923,none,False,False,kospi_only,20091230,1,S,L,1,1,S/L,S1B1,29036397150,20100630
2010-07-31,001020,KOSPI,66329354000,85922024720.0,19905.0,0.42,2.380952380952381,0.11692307692307691,none,False,False,kospi_only,20091230,1,S,H,2,5,S/H,S2B5,66329354000,20100630
2010-07-31,001040,KOSPI,1737260820000,1781786404200.0,80091.0,0.78,1.282051282051282,0.2333333333333334,none,False,False,kospi_only,20091230,1,B,M,5,3,B/M,S5B3,1737260820000,20100630
2010-07-31,001060,KOSPI,166279209500,169834483000.0,18572.0,0.98,1.0204081632653061,-0.014450867052023142,none,False,False,kospi_only,20091230,1,B,M,4,2,B/M,S4B2,166279209500,20100630
2010-07-31,001070,KOSPI,29044000000,24433000000.0,95403.0,0.24,4.166666666666667,0.06021897810218979,none,False,False,kospi_only,20091230,1,S,H,1,5,S/H,S1B5,29044000000,20100630
2010-07-31,001080,KOSPI,68682500000,63910000000.0,55397.0,0.28,3.571428571428571,-0.024169184290030232,none,False,False,kospi_only,20091230,1,S,H,2,5,S/H,S2B5,68682500000,20100630
2010-07-31,001120,KOSPI,1197684000000,1172490000000.0,15714.0,1.93,0.5181347150259068,0.01941747572815533,none,False,False,kospi_only,20091230,1,B,L,5,1,B/L,S5B1,1197684000000,20100630
2010-07-31,001130,KOSPI,273780000000,231530000000.0,261459.0,0.52,1.923076923076923,-0.058641975308642014,none,False,False,kospi_only,20091230,1,B,H,4,4,B/H,S4B4,273780000000,20100630
2010-07-31,001140,KOSPI,14279525600,7191128000.0,21236.0,0.33,3.0303030303030303,0.3741007194244603,none,False,False,kospi_only,20091230,1,S,H,1,5,S/H,S1B5,14279525600,20100630
2010-07-31,001210,KOSPI,320213161300,385224040700.0,36491.0,1.53,0.6535947712418301,-0.0388768898488121,none,False,False,kospi_only,20091230,1,B,L,4,2,B/L,S4B2,320213161300,20100630
2010-07-31,001230,KOSPI,1360134380000,1669255830000.0,36127.0,0.75,1.3333333333333333,0.09090909090909083,none,False,True,kospi_only,20091230,1,B,M,5,3,B/M,S5B3,1360134380000,20100630
2010-07-31,001250,KOSPI,202803876000,250124780400.0,6276.0,3.54,0.2824858757062147,0.008333333333333304,none,False,False,kospi_only,20091230,1,B,L,4,1,B/L,S4B1,202803876000,20100630
2010-07-31,001260,KOSPI,112953932490,278800000000.0,7597.0,1.08,0.9259259259259258,0.06574923547400591,none,False,False,kospi_only,20091230,1,B,M,3,2,B/M,S3B2,112953932490,20100630
2010-07-31,001300,KOSPI,4720000000000,2825000000000.0,34817.0,1.62,0.6172839506172839,-0.03813559322033899,none,False,False,kospi_only,20091230,1,B,L,5,1,B/L,S5B1,4720000000000,20100630
2010-07-31,001310,KOSPI,38951200000,56812800000.0,16850.0,0.16,6.25,-0.016574585635359074,none,False,False,kospi_only,20091230,1,S,H,1,5,S/H,S1B5,38951200000,20100630
2010-07-31,001340,KOSPI,101060023200,101073343600.0,32822.0,1.19,0.8403361344537815,-0.02144772117962468,none,False,False,kospi_only,20091230,1,S,L,3,2,S/L,S3B2,101060023200,20100630
2010-07-31,001360,KOSPI,23755864290,23338428975.0,4544.0,0.68,1.4705882352941175,0.10702875399361012,none,False,False,kospi_only,20091230,1,S,M,1,3,S/M,S1B3,23755864290,20100630
2010-07-31,001380,KOSPI,79111455650,35276612150.0,9927.0,0.85,1.1764705882352942,-0.05013192612137207,none,False,False,kospi_only,20091230,1,S,M,3,3,S/M,S3B3,79111455650,20100630
2010-07-31,001390,KOSPI,110210000000,107535000000.0,18018.0,0.56,1.7857142857142856,0.024271844660194164,none,False,False,kospi_only,20091230,1,B,M,3,4,B/M,S3B4,110210000000,20100630
2010-07-31,001420,KOSPI,14011800000,13031700000.0,4240.0,0.42,2.380952380952381,0.1968911917098446,none,False,False,kospi_only,20091230,1,S,H,1,5,S/H,S1B5,14011800000,20100630
2010-07-31,001430,KOSPI,717242380000,591724963500.0,25117.0,0.66,1.5151515151515151,0.06000000000000005,none,False,True,kospi_only,20091230,1,B,M,5,3,B/M,S5B3,717242380000,20100630
2010-07-31,001440,KOSPI,652037623050,880778785200.0,19680.0,0.91,1.0989010989010988,0.09137055837563457,none,False,False,kospi_only,20091230,1,B,M,5,3,B/M,S5B3,652037623050,20100630
2010-07-31,001460,KOSPI,90569175000,78076875000.0,288027.0,0.43,2.3255813953488373,-0.05517241379310345,none,False,False,kospi_only,20091230,1,S,H,3,4,S/H,S3B4,90569175000,20100630
2010-07-31,001470,KOSPI,120997261000,167395514300.0,48366.0,0.45,2.2222222222222223,-0.04870129870129869,none,False,False,kospi_only,20091230,1,B,H,3,4,B/H,S3B4,120997261000,20100630
2010-07-31,001520,KOSPI,187644350425,269196019825.0,3225.0,1.11,0.9009009009009008,-0.07444668008048294,none,False,False,kospi_only,20091230,1,B,M,4,2,B/M,S4B2,187644350425,20100630
2010-07-31,001530,KOSPI,124191206700,101092968200.0,166225.0,0.28,3.571428571428571,0.05525846702317283,none,False,False,kospi_only,20091230,1,B,H,3,5,B/H,S3B5,124191206700,20100630
2010-07-31,001540,KOSDAQ,76590000000,80960000000.0,7496.0,0.94,1.0638297872340425,0.10810810810810811,none,False,False,kospi_only,20091230,1,S,M,3,3,S/M,S3B3,76590000000,20100630
2010-07-31,001550,KOSPI,13159994400,16763326200.0,15201.0,0.7,1.4285714285714286,0.23809523809523814,none,False,False,kospi_only,20091230,1,S,M,1,3,S/M,S1B3,13159994400,20100630
2010-07-31,001560,KOSPI,40400000000,38950000000.0,5046.0,0.77,1.2987012987012987,0.04084158415841577,none,False,False,kospi_only,20091230,1,S,M,2,3,S/M,S2B3,40400000000,20100630
2010-07-31,001570,KOSPI,25776416740,26957015980.0,1272.0,0.54,1.8518518518518516,-0.022900763358778664,none,False,False,kospi_only,20091230,1,S,M,1,4,S/M,S1B4,25776416740,20100630
2010-07-31,001620,KOSPI,33839858200,30153025400.0,2962.0,0.39,2.564102564102564,0.24513618677042803,none,False,False,kospi_only,20091230,1,S,H,1,5,S/H,S1B5,33839858200,20100630
2010-07-31,001630,KOSPI,239467500000,321682500000.0,16305.0,1.51,0.6622516556291391,-0.0027247956403270157,none,False,True,kospi_only,20091230,1,B,L,4,2,B/L,S4B2,239467500000,20100630
2010-07-31,001680,KOSPI,302426528800,265667503200.0,9566.0,0.83,1.2048192771084338,-0.024309392265193353,none,False,False,kospi_only,20091230,1,B,M,4,3,B/M,S4B3,302426528800,20100630
2010-07-31,001740,KOSPI,2581151528800,2551466379000.0,9596.0,1.09,0.9174311926605504,-0.004807692307692291,none,False,False,kospi_only,20091230,1,B,M,5,2,B/M,S5B2,2581151528800,20100630
2010-07-31,001770,KOSPI,17409151200,16279761200.0,30637.0,0.55,1.8181818181818181,0.18853041496934098,split_bonus,False,False,kospi_only,20091230,1,S,M,1,4,S/M,S1B4,17409151200,20100630
2010-07-31,001780,KOSPI,179754364100,118500587700.0,2462.0,1.05,0.9523809523809523,-0.07358738501971096,none,False,False,kospi_only,20091230,1,B,M,4,2,B/M,S4B2,179754364100,20100630
2010-07-31,001790,KOSPI,165379558000,161664135000.0,126895.0,0.4,2.5,-0.14188422247446086,none,False,False,kospi_only,20091230,1,B,H,4,5,B/H,S4B5,165379558000,20100630
2010-07-31,001800,KOSPI,2197617922500,1720860615000.0,87518.0,3.3,0.30303030303030304,-0.033921302578019064,none,False,True,kospi_only,20091230,1,B,L,5,1,B/L,S5B1,2197617922500,20100630
2010-07-31,001810,KOSDAQ,51801750000,49477312500.0,5280.0,0.42,2.380952380952381,-0.019230769230769273,none,False,False,kospi_only,20091230,1,S,H,2,5,S/H,S2B5,51801750000,20100630
2010-07-31,001820,KOSPI,127858500000,95841900000.0,3089.0,2.98,0.33557046979865773,-0.024390243902439046,none,False,False,kospi_only,20091230,1,B,L,3,1,B/L,S3B1,127858500000,20100630
2010-07-31,001840,KOSDAQ,65445120000,92570400000.0,3397.0,3.8,0.2631578947368421,0.08114035087719307,none,False,False,kospi_only,20091230,1,S,L,2,1,S/L,S2B1,65445120000,20100630
